,symbol,currency,cik,exchange,exchange_short_name,industry,country,ipo_date,is_fund
27952,LUNR,USD,0001844452,NASDAQ Global Market,NASDAQ,Aerospace & Defense,US,2021-11-17,False
27953,DTSRF,USD,,Other OTC,OTC,Asset Management,CA,2018-04-26,False
27954,ZYDUSLIFE.NS,INR,,National Stock Exchange of India,NSE,Drug Manufacturers - Specialty & Generic,IN,2002-07-01,False
27955,RAINBOW.NS,INR,,National Stock Exchange of India,NSE,Medical - Care Facilities,IN,2022-05-10,False
27956,ALITF,USD,,Other OTC,OTC,Asset Management,GB,2012-01-17,True
27957,MCOV-B.ST,SEK,,Stockholm Stock Exchange,STO,Medical - Care Facilities,SE,2017-05-23,False
27958,MKO.V,CAD,,Toronto Stock Exchange Ventures,TSXV,Gold,CA,2006-11-27,False
27959,ILK2S.HE,EUR,,NASDAQ Helsinki,HEL,Publishing,FI,2000-01-03,False
27960,KPLIF,USD,,Other OTC,OTC,Chemicals - Specialty,SG,2011-08-10,True
27961,HSBC,USD,0001089113,New York Stock Exchange,NYSE,Banks - Diversified,GB,1999-07-16,False
27962,RW.V,CAD,,Toronto Stock Exchange Ventures,TSXV,Software - Application,CA,2012-08-13,False
27963,KYCHU,USD,0001865701,NASDAQ Global Market,NASDAQ,Shell Companies,US,2022-01-25,False
27964,LFT-PA,USD,0001547546,New York Stock Exchange,NYSE,REIT - Mortgage,US,2021-05-06,False
27965,0IL8.L,USD,,London Stock Exchange,LSE,Medical - Pharmaceuticals,US,2018-01-29,False
27966,MXI.DE,EUR,,Deutsche Börse,XETRA,Semiconductors,US,2006-01-17,False
27967,INTENTECH.NS,INR,,National Stock Exchange of India,NSE,Software - Infrastructure,IN,2017-03-23,False
27968,FERIX,USD,0000729218,NASDAQ,NASDAQ,Asset Management,US,1994-03-31,True
27969,RESP,USD,0001350487,New York Stock Exchange Arca,AMEX,Asset Management,US,2007-02-23,False
27970,DHUNINV.BO,INR,,Bombay Stock Exchange,BSE,Financial - Capital Markets,IN,2011-03-18,False
27971,SBT.PA,EUR,,Euronext Paris,PAR,Beverages - Wineries & Distilleries,FR,2000-01-03,False
27972,BIRET.BO,INR,,Bombay Stock Exchange,BSE,REIT - Office,IN,2021-02-16,True
27973,HXGBY,USD,,Other OTC,OTC,"Hardware, Equipment & Parts",SE,2013-05-14,False
27974,RMGGF,USD,,Other OTC,OTC,Gold,AU,2010-10-15,False
27975,SSDOF,USD,,Other OTC,OTC,Household & Personal Products,JP,2012-08-17,False
27976,RBGPF,USD,0001420798,Other OTC,OTC,Household & Personal Products,GB,2007-11-07,False
27977,RMS.VI,EUR,,Vienna Stock Exchange,VIE,Luxury Goods,FR,2018-05-16,False
27978,RMLFF,USD,,Other OTC,OTC,Gold,CA,2014-05-29,False
27979,RWAYL,USD,0001653384,NASDAQ Global Select,NASDAQ,Financial - Credit Services,US,2022-08-01,False
27980,EG7.ST,SEK,,Stockholm Stock Exchange,STO,Electronic Gaming & Multimedia,SE,2019-02-04,False
27981,CENTRALBK.NS,INR,,National Stock Exchange of India,NSE,Banks - Regional,IN,2007-08-21,False
27982,GGBBF,USD,,Other OTC,OTC,Specialty Retail,CA,2018-03-22,False
27983,STRNW,USD,0001872525,NASDAQ Capital Market,NASDAQ,Advertising Agencies,US,2021-11-09,False
27984,TOM.SG,EUR,,Stuttgart Stock Exchange,STU,Auto - Manufacturers,JP,2007-12-28,False
27985,HKLB.L,USD,,London Stock Exchange,LSE,Real Estate - Development,BM,2007-11-01,False
27986,OOOOF,USD,,Other OTC,OTC,Internet Content & Information,GB,2021-09-03,False
27987,FMBIO,USD,0000702325,NASDAQ Global Select,NASDAQ,Banks - Regional,US,2020-06-19,False
27988,EKGIX,USD,0001081400,NASDAQ,NASDAQ,Asset Management - Global,US,2010-07-30,True
27989,SGNL.TO,CAD,,Toronto Stock Exchange,TSX,Gold,CA,2012-01-31,False
27990,MQG.AX,AUD,,Australian Securities Exchange,ASX,Financial - Capital Markets,AU,1999-01-03,False
27991,MDF.MC,EUR,,Madrid Stock Exchange,BME,Engineering & Construction,ES,2002-01-02,False
27992,HLDCY,USD,0000811250,Other OTC,OTC,Real Estate - Diversified,HK,1996-11-18,False
27993,SPO.L,GBp,,London Stock Exchange,LSE,"Gambling, Resorts & Casinos",GB,1988-07-01,False
27994,PRSVX,USD,0000834798,NASDAQ,NASDAQ,Asset Management,US,1988-06-30,True
27995,AUUMF,USD,,Other OTC,OTC,Industrial - Machinery,DE,2018-07-02,False
27996,UEPEP,USD,0000100826,Other OTC,OTC,Regulated Electric,US,1980-04-16,False
27997,VCM.TO,CAD,,Toronto Stock Exchange,TSX,Communication Equipment,CA,2006-12-01,False
27998,ARMN,USD,0001964504,New York Stock Exchange Arca,AMEX,Gold,CA,2010-10-08,False
27999,BPT,USD,0000850033,New York Stock Exchange,NYSE,Oil & Gas Refining & Marketing,US,1989-05-23,True
28000,AHLA.DE,EUR,,Deutsche Börse,XETRA,Specialty Retail,CN,2016-05-26,False
28001,VPN.CN,CAD,,Canadian Securities Exchange,CNQ,Software - Infrastructure,CA,2011-02-17,False
28002,SYCHF,USD,,Other OTC,OTC,Chemicals - Specialty,JP,2022-08-10,False
28003,DBAN.DE,EUR,,Deutsche Börse,XETRA,Asset Management,DE,1998-11-10,False
28004,GRASIM.BO,INR,,Bombay Stock Exchange,BSE,Construction Materials,IN,2000-01-03,False
28005,RY4C.DE,EUR,,Deutsche Börse,XETRA,"Airlines, Airports & Air Services",IE,2011-05-17,False
28006,BAJAJ-AUTO.BO,INR,,Bombay Stock Exchange,BSE,Auto - Manufacturers,IN,2008-05-26,False
28007,OUTKY,USD,0000920822,Other OTC,OTC,Steel,FI,2012-02-07,False
28008,UA,USD,0001336917,New York Stock Exchange,NYSE,Apparel - Manufacturers,US,2016-03-23,False
28009,8739.T,JPY,,Tokyo Stock Exchange,JPX,Asset Management,JP,2001-12-04,False
28010,NTBL,USD,0001603207,NASDAQ Capital Market,NASDAQ,Biotechnology,US,2014-10-01,False
28011,HERCULES.BO,INR,,Bombay Stock Exchange,BSE,Industrial - Machinery,IN,2000-01-03,False
28012,LPEN.TO,CAD,,Toronto Stock Exchange,TSX,Electrical Equipment & Parts,CA,2021-02-25,False
28013,RTNTF,USD,0000887028,Other OTC,OTC,Industrial Materials,GB,2009-11-24,False
28014,ELECTHERM.BO,INR,,Bombay Stock Exchange,BSE,Steel,IN,,False
28015,JADFX,USD,0000277751,NASDAQ,NASDAQ,Asset Management - Bonds,US,2001-05-03,True
28016,BNGOW,USD,0001411690,NASDAQ Capital Market,NASDAQ,Medical - Diagnostics & Research,US,2018-09-21,False
28017,BC-PB,USD,0000014930,New York Stock Exchange,NYSE,Auto - Parts,US,1981-12-31,False
28018,OMAXE.BO,INR,,Bombay Stock Exchange,BSE,Real Estate - Development,IN,2007-08-09,False
28019,TLTFF,USD,,Other OTC,OTC,Medical - Devices,CA,2010-04-05,False
28020,601398.SS,CNY,,Shanghai Stock Exchange,SHH,Banks - Diversified,CN,2006-10-27,False
28021,RELAXO.BO,INR,,Bombay Stock Exchange,BSE,Apparel - Footwear & Accessories,IN,,False
28022,SVNAU,USD,0001850699,NASDAQ Global Market,NASDAQ,Shell Companies,US,,False
28023,HUPHY,USD,,Other OTC,OTC,Marine Shipping,SG,2017-01-05,True
28024,JMT-R.BK,THB,,Stock Exchange of Thailand,SET,Financial - Credit Services,TH,2022-07-06,False
28025,RKAGY,USD,,Other OTC,OTC,Medical - Care Facilities,DE,2013-06-12,False
28026,1858.HK,HKD,,Hong Kong Stock Exchange,HKSE,Medical - Devices,CN,2015-03-11,False
28027,ECSNF,USD,,Other OTC,OTC,Chemicals - Specialty,CA,2012-05-15,False
28028,9A4U.SI,SGD,,Stock Exchange of Thailand,SES,REIT - Industrial,SG,2006-07-25,True
28029,9783.T,JPY,,Tokyo Stock Exchange,JPX,Education & Training Services,JP,2001-01-04,False
28030,GOOS.TO,CAD,,Toronto Stock Exchange,TSX,Apparel - Manufacturers,CA,2017-03-16,False
28031,EGGF,USD,0001843973,New York Stock Exchange,NYSE,Shell Companies,US,2021-07-19,False
28032,POKARNA.NS,INR,,National Stock Exchange of India,NSE,Construction,IN,2016-07-07,False
28033,CAKE.CN,CAD,,Canadian Securities Exchange,CNQ,Uranium,CA,2021-12-21,False
28034,GROM,USD,0001662574,Other OTC,OTC,Internet Content & Information,US,2017-09-14,False
28035,0RU6.L,NOK,,London Stock Exchange,LSE,Banks,NO,2017-11-24,False
28036,BMRMF,USD,,Other OTC,OTC,"Gambling, Resorts & Casinos",MC,2009-12-15,False
28037,5938.T,JPY,,Tokyo Stock Exchange,JPX,Construction,JP,2001-01-01,False
28038,L-PB.TO,CAD,,Toronto Stock Exchange,TSX,Grocery Stores,CA,2015-06-09,False
28039,BNTGF,USD,0001533945,Other OTC,OTC,Chemicals - Specialty,DE,2012-05-15,False
28040,AKSHAR.BO,INR,,Bombay Stock Exchange,BSE,Apparel - Manufacturers,IN,,False
28041,PPRQF,USD,,Other OTC,OTC,REIT - Retail,CA,2013-12-27,False
28042,WPLCF,USD,,Other OTC,OTC,Information Technology Services,GB,2021-07-08,False
28043,PRTDF,USD,,Other OTC,OTC,Oil & Gas Exploration & Production,IM,2010-04-23,False
28044,FINMF,USD,0001851267,Other OTC,OTC,Aerospace & Defense,IT,2010-01-05,False
28045,KBAGF,USD,,Other OTC,OTC,Engineering & Construction,NL,2010-06-21,False
28046,SAT.BK,THB,,Stock Exchange of Thailand,SET,Auto - Parts,TH,2005-01-31,False
28047,CTT.LS,EUR,,Euronext Lisbon,LIS,Integrated Freight & Logistics,PT,2013-12-05,False
28048,VCT.L,GBp,,London Stock Exchange,LSE,Chemicals - Specialty,GB,1995-12-21,False
28049,GNACW,USD,0001832250,NASDAQ Capital Market,NASDAQ,Shell Companies,US,2021-03-08,False
28050,LTHM.CN,CAD,,Canadian Securities Exchange,CNQ,Other Precious Metals,CA,2023-05-23,False
28051,ARROWGREEN.NS,INR,,National Stock Exchange of India,NSE,Packaging & Containers,IN,2015-05-21,False
28052,HYKUF,USD,,Other OTC,OTC,Banks - Regional,JP,2014-12-17,False
28053,URAVI.NS,INR,,National Stock Exchange of India,NSE,Auto - Parts,IN,2018-04-13,False
28054,JDIAX,USD,0000277751,NASDAQ,NASDAQ,Asset Management,US,2005-01-25,True
28055,ATNF,USD,0001690080,NASDAQ Capital Market,NASDAQ,Biotechnology,US,2017-06-27,False
28056,GS,USD,0000886982,New York Stock Exchange,NYSE,Financial - Capital Markets,US,1999-05-04,False
28057,VPBN.SW,CHF,,Swiss Exchange,SIX,Banks - Diversified,LI,2000-01-04,False
28058,NETC,USD,0001854458,New York Stock Exchange,NYSE,Shell Companies,US,2022-01-10,False
28059,MAOIF,USD,,Other OTC,OTC,Industrial - Machinery,FR,2020-02-18,False
28060,BXBLY,USD,,Other OTC,OTC,Specialty Business Services,AU,2009-12-29,False
28061,6752.T,JPY,,Tokyo Stock Exchange,JPX,Consumer Electronics,JP,2000-01-04,False
28062,AYR-A.CN,CAD,,Canadian Securities Exchange,CNQ,Drug Manufacturers - Specialty & Generic,US,2019-08-20,False
28063,0UUE.L,CAD,,London Stock Exchange,LSE,Industrial - Pollution & Treatment Controls,CA,,False
28064,LSPRU,USD,0001859007,NASDAQ Global Market,NASDAQ,Shell Companies,US,,False
28065,ROMJ.V,CAD,,Toronto Stock Exchange Ventures,TSXV,Drug Manufacturers - Specialty & Generic,CA,2018-10-10,False
28066,RLHPF,USD,,Other OTC,OTC,Real Estate - Services,MX,2021-03-29,False
28067,BRIV3.SA,BRL,,B3 S.A.,SAO,Banks - Regional,BR,2000-01-04,False
28068,5PAISA.NS,INR,,National Stock Exchange of India,NSE,Financial - Capital Markets,IN,2017-11-16,False
28069,SMNEY,USD,,Other OTC,OTC,Industrial - Machinery,DE,2020-12-14,False
28070,MBWS.PA,EUR,,Euronext Paris,PAR,Beverages - Wineries & Distilleries,FR,2000-04-12,False
28071,GAS.AX,AUD,,Australian Securities Exchange,ASX,Oil & Gas Exploration & Production,AU,2017-10-09,False
28072,HNGZY,USD,,Other OTC,OTC,Medical - Diagnostics & Research,CN,2022-07-11,False
28073,BP-A.L,GBp,,London Stock Exchange,LSE,Oil & Gas Integrated,GB,2000-01-04,False
28074,BRPM,USD,0001759824,NASDAQ Capital Market,NASDAQ,Shell Companies,US,2019-04-25,False
28075,PTITF,USD,,Other OTC,OTC,Telecommunications Services,ID,2012-09-25,False
28076,RBD.NZ,NZD,,New Zealand Exchange,NZE,Restaurants,NZ,2000-01-04,False
28077,BITF,USD,0001812477,NASDAQ Global Market,NASDAQ,Financial - Capital Markets,CA,2019-08-16,False
28078,ERYP,USD,0001624422,NASDAQ Global Select,NASDAQ,Biotechnology,FR,2016-07-05,False
28079,XVIPY,USD,,Other OTC,OTC,Medical - Specialties,SE,2022-09-23,False
28080,STOR,USD,0001538990,New York Stock Exchange,NYSE,REIT - Diversified,US,2014-11-18,False
28081,WLLAW,USD,0001255474,Other OTC,OTC,Oil & Gas Exploration & Production,US,2020-09-04,False
28082,BLNGW,USD,0001842384,NASDAQ Capital Market,NASDAQ,Shell Companies,,,False
28083,XPDB,USD,0001855474,NASDAQ Global Market,NASDAQ,Shell Companies,US,2022-02-01,False
28084,NXT.AX,AUD,,Australian Securities Exchange,ASX,Real Estate - Services,AU,2010-12-12,False
28085,JAYNECOIND.BO,INR,,Bombay Stock Exchange,BSE,Steel,IN,,False
28086,SATIN.BO,INR,,Bombay Stock Exchange,BSE,Financial - Credit Services,IN,,False
28087,AIVI,USD,0001471302,New York Stock Exchange Arca,AMEX,Asset Management,US,2006-06-16,False
28088,WELINV.NS,INR,,National Stock Exchange of India,NSE,Financial - Capital Markets,IN,2003-12-04,False
28089,DHCAU,USD,0001838163,NASDAQ Capital Market,NASDAQ,Shell Companies,US,2021-03-02,False
28090,PRN.TO,CAD,,Toronto Stock Exchange,TSX,Medical - Devices,CA,2018-07-10,False
28091,0LA6.L,USD,,London Stock Exchange,LSE,Real Estate - General,US,2014-11-18,False
28092,TZPSW,USD,0001823481,NASDAQ Capital Market,NASDAQ,Shell Companies,US,2021-03-12,False
28093,MOLDTKPAC.NS,INR,,National Stock Exchange of India,NSE,Packaging & Containers,IN,2015-02-23,False
28094,7716.TWO,TWD,,Taiwan Stock Exchange,TWO,Marine Shipping,TW,2024-03-28,False
28095,RBWRF,USD,,Other OTC,OTC,Industrial Materials,GG,2021-02-17,False
28096,0KFH.L,EUR,,London Stock Exchange,LSE,Medical - Equipment & Services,FI,2015-06-10,False
28097,CAPN,USD,0002024203,NASDAQ Global Select,NASDAQ,Shell Companies,US,2024-09-20,False
28098,ENTG.V,CAD,,Toronto Stock Exchange Ventures,TSXV,Drug Manufacturers - Specialty & Generic,CA,2018-01-02,False
28099,GTBP.PA,EUR,,Euronext Paris,PAR,Biotechnology,US,2001-09-03,False
28100,CLKXF,USD,,Other OTC,OTC,Leisure,CA,2014-07-01,False
28101,OUKPF,USD,0001436786,Other OTC,OTC,Agricultural - Machinery,FI,2013-04-05,False
28102,WDFCF,USD,,Other OTC,OTC,Industrial Materials,CA,2015-03-10,False
28103,THNUY,USD,,Other OTC,OTC,Financial - Conglomerates,TH,2014-05-29,False
28104,TCAP-R.BK,THB,,Stock Exchange of Thailand,SET,Financial - Conglomerates,TH,2007-12-28,False
28105,MZTFF,USD,,Other OTC,OTC,Banks - Regional,IL,2018-11-27,False
28106,TTTSF,USD,,Other OTC,OTC,Software - Application,CA,2018-06-04,False
28107,BEIJF,USD,,Other OTC,OTC,Real Estate - Development,CN,2010-01-05,False
28108,SHREYANIND.BO,INR,,Bombay Stock Exchange,BSE,"Paper, Lumber & Forest Products",IN,2002-03-11,False
28109,FOSYF,USD,0001336835,Other OTC,OTC,Industrial Materials,CA,2007-05-22,False
28110,BRENF,USD,0001533232,Other OTC,OTC,Renewable Utilities,BM,2019-10-29,False
28111,ZNTEU,USD,0001823652,NASDAQ Capital Market,NASDAQ,Shell Companies,US,2020-11-16,False
28112,KENDR.AS,EUR,,Euronext Amsterdam,AMS,Auto - Parts,NL,2000-01-03,False
28113,OFSSI,USD,0001487918,NASDAQ Global Select,NASDAQ,Asset Management,US,2019-10-16,False
28114,0R2C.L,CAD,,London Stock Exchange,LSE,Industrial Materials,CA,2014-11-06,False
28115,LIGHT.AS,EUR,,Euronext Amsterdam,AMS,Electrical Equipment & Parts,NL,2016-05-27,False
28116,NCC.NS,INR,,National Stock Exchange of India,NSE,Engineering & Construction,IN,2002-08-15,False
28117,CLEDUCATE.BO,INR,,Bombay Stock Exchange,BSE,Education & Training Services,IN,2017-03-31,False
28118,LNXSF,USD,,Other OTC,OTC,Chemicals - Specialty,DE,2012-01-17,False
28119,1023.KL,MYR,,Malaysian Stock Exchange,KLS,Banks - Regional,MY,2000-01-03,False
28120,0QQN.L,CHF,,London Stock Exchange,LSE,Industrial - Capital Goods,CH,2014-03-20,False
28121,HACBY,USD,0000793742,Other OTC,OTC,Banks - Regional,JP,2008-07-08,False
28122,FMCKI,USD,0001026214,Other OTC,OTC,Financial - Mortgages,US,2007-10-01,False
28123,PROL.PA,EUR,,Euronext Paris,PAR,Software - Application,FR,1998-07-06,False
28124,SHUAW,USD,0001886268,NASDAQ Global Market,NASDAQ,Shell Companies,,,False
28125,XIGMF,USD,,Other OTC,OTC,Software - Application,CA,2021-08-11,False
28126,0548.HK,HKD,,Hong Kong Stock Exchange,HKSE,Industrial - Infrastructure Operations,CN,1997-03-12,False
28127,ASEI.L,GBp,,London Stock Exchange,LSE,Asset Management,GB,1991-11-14,True
28128,WHL.JO,ZAc,,Johannesburg Stock Exchange,JNB,Department Stores,ZA,2000-01-17,False
28129,SB1.DE,EUR,,Deutsche Börse,XETRA,Financial - Data & Stock Exchanges,DE,2007-12-28,False
28130,PDCO,USD,0000891024,NASDAQ Global Select,NASDAQ,Medical - Distribution,US,1992-10-28,False
28131,MCR.AX,AUD,,Australian Securities Exchange,ASX,Industrial Materials,AU,1997-08-01,False
28132,NA-PC.TO,CAD,,Toronto Stock Exchange,TSX,Banks - Diversified,CA,2017-06-13,False
28133,CBUJ.F,EUR,,Frankfurt Stock Exchange,XETRA,Asset Management,IE,2022-06-13,False
28134,6618.HK,HKD,,Hong Kong Stock Exchange,HKSE,Medical - Care Facilities,CN,2020-12-08,False
28135,VEJI.CN,CAD,,Canadian Securities Exchange,CNQ,Packaged Foods,CA,2021-11-10,False
28136,0K7X.L,USD,,London Stock Exchange,LSE,Financial - Diversified,US,2018-01-29,False
28137,ACLTF,USD,,Other OTC,OTC,Diversified Utilities,CA,2014-01-21,False
28138,YMDAF,USD,,Other OTC,OTC,Specialty Retail,JP,2001-12-18,False
28139,NORBTEAEXP.BO,INR,,Bombay Stock Exchange,BSE,Agricultural Farm Products,IN,,False
28140,DNTUF,USD,,Other OTC,OTC,Advertising Agencies,JP,2013-05-23,False
28141,GLOSTERLTD.BO,INR,,Bombay Stock Exchange,BSE,Manufacturing - Textiles,IN,,False
28142,CHOWF,USD,,Other OTC,OTC,Luxury Goods,HK,2010-04-26,False
28143,200017.SZ,HKD,,Shenzhen Stock Exchange,SHZ,Leisure,CN,1992-12-03,False
28144,HEUBACHIND.BO,INR,,Bombay Stock Exchange,BSE,Chemicals - Specialty,IN,2000-01-03,False
28145,0116.HK,HKD,,Hong Kong Stock Exchange,HKSE,Luxury Goods,HK,1973-04-06,False
28146,FSCWX,USD,0000820892,NASDAQ,NASDAQ,Asset Management,US,2016-07-05,True
28147,ROUTE.NS,INR,,National Stock Exchange of India,NSE,Telecommunications Services,IN,2020-09-21,False
28148,GWA.V,CAD,,Toronto Stock Exchange Ventures,TSXV,Gold,CA,1996-07-31,False
28149,BOT.AX,AUD,,Australian Securities Exchange,ASX,Biotechnology,AU,1988-01-31,False
28150,LGSTU,USD,0001860871,NASDAQ Global Market,NASDAQ,Shell Companies,US,2021-11-04,False
28151,KLAQW,USD,0001823323,NASDAQ Capital Market,NASDAQ,Shell Companies,US,2021-03-01,False
28152,STRE-WT,USD,0001838361,New York Stock Exchange,NYSE,,,,False
28153,GMRCF,USD,,Other OTC,OTC,Gold,CA,2022-05-23,False
28154,STOVEKRAFT.NS,INR,,National Stock Exchange of India,NSE,"Furnishings, Fixtures & Appliances",IN,2021-02-08,False
28155,KTHGF,USD,,Other OTC,OTC,Information Technology Services,HK,2007-09-04,False
28156,PCRBF,USD,,Other OTC,OTC,Business Equipment & Supplies,SE,2012-09-18,False
28157,CLSH,USD,0001522222,Other OTC,OTC,Drug Manufacturers - Specialty & Generic,US,2015-06-23,False
28158,CSKYF,USD,,Other OTC,OTC,Industrial Materials,CA,2022-07-21,False
