,symbol,currency,cik,exchange,exchange_short_name,industry,country,ipo_date,is_fund
0,GVCIW,USD,0001858503,NASDAQ Global Market,NASDAQ,Shell Companies,US,2021-12-30,False
1,TGOPF,USD,,Other OTC,OTC,Asset Management,GB,2007-09-05,False
2,VACN.SW,CHF,,Swiss Exchange,SIX,Industrial - Machinery,CH,2016-04-14,False
3,KL,USD,0001713443,New York Stock Exchange,NYSE,Gold,CA,1994-05-31,False
4,FLTDF,USD,,Other OTC,OTC,Financial - Capital Markets,NL,2017-10-05,False
5,002202.SZ,CNY,,Shenzhen Stock Exchange,SHZ,Industrial - Machinery,CN,2007-12-26,False
6,ZINGU,USD,0001844270,NASDAQ Global Market,NASDAQ,Shell Companies,US,2021-11-19,False
7,ESOCF,USD,0001096200,Other OTC,OTC,Diversified Utilities,IT,2009-02-13,False
8,3993.HK,HKD,,Hong Kong Stock Exchange,HKSE,Industrial Materials,CN,2007-04-26,False
9,005490.KS,KRW,,Korea Exchange,KSC,Steel,KR,2000-01-04,False
10,GAPB.MX,MXN,,Mexican Stock Exchange,MEX,"Airlines, Airports & Air Services",MX,2006-02-27,False
11,BOAC-WT,USD,0001818089,New York Stock Exchange,NYSE,,,,False
12,3323.HK,HKD,,Hong Kong Stock Exchange,HKSE,Construction Materials,CN,2006-03-23,False
13,HMSB.DE,EUR,,Deutsche Börse,XETRA,Apparel - Manufacturers,SE,1998-11-10,False
14,ECNLF,USD,,Other OTC,OTC,Apparel - Manufacturers,IT,2022-10-14,False
15,SZZLU,USD,0002030663,NASDAQ Global Market,NASDAQ,Shell Companies,US,2025-04-02,False
16,NGG,USD,0001004315,New York Stock Exchange,NYSE,Regulated Electric,GB,2005-08-10,False
17,IROHR,USD,0001901203,NASDAQ,NASDAQ,,US,,False
18,MAHSCOOTER.NS,INR,,National Stock Exchange of India,NSE,Auto - Parts,IN,2002-07-01,False
19,CPB,USD,0000016732,NASDAQ,NASDAQ,Packaged Foods,US,1954-12-13,False
20,CENTURYPLY.NS,INR,,National Stock Exchange of India,NSE,"Furnishings, Fixtures & Appliances",IN,2006-03-23,False
21,NSTC-UN,USD,0001835817,New York Stock Exchange,NYSE,Shell Companies,US,2021-03-02,False
22,GENUSPAPER.BO,INR,,Bombay Stock Exchange,BSE,"Paper, Lumber & Forest Products",IN,,False
23,PILITA.NS,INR,,National Stock Exchange of India,NSE,"Furnishings, Fixtures & Appliances",IN,2002-08-12,False
24,LAL.NS,INR,,National Stock Exchange of India,NSE,Apparel - Manufacturers,IN,2023-04-10,False
25,HUD.L,GBp,,London Stock Exchange,LSE,Entertainment,GB,2018-07-12,False
26,4887.T,JPY,,Tokyo Stock Exchange,JPX,Drug Manufacturers - Specialty & Generic,JP,2021-04-01,False
27,CSFS.L,GBp,,London Stock Exchange,LSE,Information Technology Services,GB,2021-04-06,False
28,CRXTQ,USD,0001817944,Other OTC,OTC,Drug Manufacturers - General,US,2021-02-09,False
29,KPG.AX,AUD,,Australian Securities Exchange,ASX,Specialty Business Services,AU,2017-06-21,False
30,SLN,USD,0001479615,NASDAQ Global Market,NASDAQ,Biotechnology,GB,2020-09-08,False
31,AIRYY,USD,,Other OTC,OTC,"Airlines, Airports & Air Services",CN,2007-05-14,False
32,005257.KS,KRW,,Korea Exchange,KSC,Biotechnology,KR,2000-01-04,False
33,3CP.F,EUR,,Frankfurt Stock Exchange,XETRA,Consumer Electronics,CN,2018-11-06,False
34,TRPL3.SA,BRL,,B3 S.A.,SAO,Independent Power Producers,BR,2000-01-03,False
35,BCONCEPTS.BO,INR,,Bombay Stock Exchange,BSE,Apparel - Footwear & Accessories,IN,2018-01-12,False
36,001270.KS,KRW,,Korea Exchange,KSC,Financial - Capital Markets,KR,2000-01-04,False
37,ANKOF,USD,,Other OTC,OTC,Gold,CA,2013-02-15,False
38,0O80.L,EUR,,London Stock Exchange,LSE,"Gambling, Resorts & Casinos",MC,2008-07-23,False
39,DATA.L,GBp,,London Stock Exchange,LSE,Consulting Services,GB,2000-06-30,False
40,PHR,USD,0001412408,New York Stock Exchange,NYSE,Medical - Healthcare Information Services,US,2019-07-18,False
41,LNW,USD,0000750004,NASDAQ Global Select,NASDAQ,"Gambling, Resorts & Casinos",US,1984-08-23,False
42,SANDHAR.BO,INR,,Bombay Stock Exchange,BSE,Auto - Parts,IN,2018-04-02,False
43,NNND.F,EUR,,Frankfurt Stock Exchange,XETRA,Internet Content & Information,CN,2023-06-26,False
44,DTC,USD,0001870600,New York Stock Exchange,NYSE,Specialty Retail,US,2021-10-28,False
45,NKE.BA,ARS,,Buenos Aires Stock Exchange,BUE,Apparel - Footwear & Accessories,US,2008-09-04,False
46,BHARATGEAR.NS,INR,,National Stock Exchange of India,NSE,Auto - Parts,IN,2002-07-01,False
47,0CX9.L,EUR,,London Stock Exchange,LSE,Packaging & Containers,FI,2023-01-02,False
48,FTCH,USD,0001740915,New York Stock Exchange,NYSE,Specialty Retail,GB,2018-09-21,False
49,IONGF,USD,,Other OTC,OTC,Industrial Materials,CA,2021-01-08,False
50,BWCAW,USD,0001854863,NASDAQ Capital Market,NASDAQ,Shell Companies,KY,2021-09-24,False
51,HAL.SW,CHF,,Swiss Exchange,SIX,Oil & Gas Equipment & Services,US,2000-01-03,False
52,VELXF,USD,,Other OTC,OTC,Oil & Gas Exploration & Production,CA,2018-11-28,False
53,RUCHI.NS,INR,,National Stock Exchange of India,NSE,Packaged Foods,IN,1995-01-03,False
54,0JSZ.L,USD,,London Stock Exchange,LSE,REIT - Industrial,US,2018-01-29,False
55,SCOA,USD,0001828985,NASDAQ Capital Market,NASDAQ,Shell Companies,GB,2001-07-06,False
56,BAX.SW,CHF,,Swiss Exchange,SIX,Medical - Instruments & Supplies,US,2000-10-02,False
57,HVG.V,CAD,,Toronto Stock Exchange Ventures,TSXV,Gold,CA,2005-12-13,False
58,0HL9.L,USD,,London Stock Exchange,LSE,Medical - Pharmaceuticals,DE,2018-02-13,False
59,SPXXF,USD,,Other OTC,OTC,Banks - Regional,NO,2018-07-31,False
60,SGL.DE,EUR,,Deutsche Börse,XETRA,Chemicals,DE,1996-12-16,False
61,LCAAU,USD,0001841024,NASDAQ Capital Market,NASDAQ,Shell Companies,SG,2021-03-11,False
62,TBRD.V,CAD,,Toronto Stock Exchange Ventures,TSXV,Entertainment,CA,1996-08-08,False
63,PRIF-PI,USD,0001554625,New York Stock Exchange,NYSE,Asset Management - Income,US,2021-06-18,True
64,7707.T,JPY,,Tokyo Stock Exchange,JPX,Medical - Diagnostics & Research,JP,2002-03-21,False
65,HTL.V,CAD,,Toronto Stock Exchange Ventures,TSXV,Medical - Devices,US,2012-07-04,False
66,DELTACORP.BO,INR,,Bombay Stock Exchange,BSE,"Gambling, Resorts & Casinos",IN,2007-11-02,False
67,BSLI4.SA,BRL,,B3 S.A.,SAO,Banks - Regional,BR,2007-02-15,False
68,GRUB,USD,0001594109,NASDAQ Global Select,NASDAQ,Specialty Retail,US,2014-04-03,False
69,MRM.CN,CAD,,Canadian Securities Exchange,CNQ,Semiconductors,CA,2010-03-09,False
70,PIXTRANS.BO,INR,,Bombay Stock Exchange,BSE,Industrial - Machinery,IN,2004-08-25,False
71,CSU.TO,CAD,,Toronto Stock Exchange,TSX,Software - Application,CA,2007-10-25,False
72,QIPT.V,CAD,,Toronto Stock Exchange Ventures,TSXV,Medical - Devices,US,2000-03-09,False
73,SGLMF,USD,,Other OTC,OTC,REIT - Retail,SG,2012-08-03,False
74,TELL,USD,0000061398,New York Stock Exchange Arca,AMEX,Oil & Gas Exploration & Production,US,1988-08-03,False
75,PCILF,USD,,Other OTC,OTC,REIT - Industrial,GB,2022-02-03,True
76,NRSNW,USD,0001875091,NASDAQ Capital Market,NASDAQ,Biotechnology,IL,,False
77,DOS.V,CAD,,Toronto Stock Exchange Ventures,TSXV,Other Precious Metals,CA,2002-02-01,False
78,FNC.V,CAD,,Toronto Stock Exchange Ventures,TSXV,Industrial Materials,CA,1996-08-08,False
79,SIGIP,USD,0000230557,NASDAQ Global Select,NASDAQ,Insurance - Property & Casualty,US,2020-12-03,False
80,PILBF,USD,,Other OTC,OTC,Industrial Materials,AU,2016-05-09,False
81,DDDD.L,GBp,,London Stock Exchange,LSE,Biotechnology,GB,2014-02-18,False
82,RSNHF,USD,,Other OTC,OTC,Banks - Regional,JP,2014-05-29,False
83,9007.T,JPY,,Tokyo Stock Exchange,JPX,Railroads,JP,2000-01-04,False
84,MUFIN.NS,INR,,National Stock Exchange of India,NSE,Financial - Credit Services,IN,2023-11-06,False
85,183490.KS,KRW,,Korea Exchange,KSC,Drug Manufacturers - Specialty & Generic,,2013-10-14,False
86,JLPYX,USD,0001217286,NASDAQ,NASDAQ,Asset Management,US,2017-11-01,True
87,SLLDY,USD,,Other OTC,OTC,Insurance - Life,ZA,2010-01-20,False
88,HARL.L,GBp,,London Stock Exchange,LSE,Aerospace & Defense,GB,2004-06-18,False
89,FSF.NZ,NZD,,New Zealand Exchange,NZE,Asset Management,NZ,2012-12-24,True
90,LEHTO.HE,EUR,,NASDAQ Helsinki,HEL,Real Estate - Development,FI,2016-04-28,False
91,FYMNF,USD,,Other OTC,OTC,Other Precious Metals,CA,2017-10-18,False
92,1N8.DE,EUR,,Deutsche Börse,XETRA,Software - Services,NL,2020-01-17,False
93,TVSELECT.NS,INR,,National Stock Exchange of India,NSE,Computer Hardware,IN,2002-07-01,False
94,ARRNF,USD,,Other OTC,OTC,Industrial Materials,AU,2018-04-16,False
95,ALIMP.PA,EUR,,Euronext Paris,PAR,Medical - Devices,FR,2013-11-25,False
96,CLCFF,USD,,Other OTC,OTC,Drug Manufacturers - Specialty & Generic,CA,2021-01-08,False
97,TTNM.TO,CAD,,Toronto Stock Exchange,TSX,Integrated Freight & Logistics,CA,2015-04-21,False
98,CCGPY,USD,,Other OTC,OTC,Beverages - Alcoholic,IE,2022-01-10,False
99,AFIN,USD,0001568162,NASDAQ Global Select,NASDAQ,REIT - Diversified,US,2017-06-19,False
100,ECU.V,CAD,,Toronto Stock Exchange Ventures,TSXV,Copper,CA,2020-12-07,False
101,0J5Q.L,USD,,London Stock Exchange,LSE,Medical - Equipment & Services,US,2018-01-29,False
102,FNV.TO,CAD,,Toronto Stock Exchange,TSX,Gold,CA,2007-12-03,False
103,GRPOF,USD,,Other OTC,OTC,Railroads,MX,2020-01-14,False
104,MTLO.V,CAD,,Toronto Stock Exchange Ventures,TSXV,Software - Infrastructure,CA,1996-08-14,False
105,OFSSH,USD,0001487918,NASDAQ Global Select,NASDAQ,Asset Management,US,2021-10-28,False
106,PGC.V,CAD,,Toronto Stock Exchange Ventures,TSXV,Gold,CA,2007-10-25,False
107,VTKLY,USD,0000913744,Other OTC,OTC,Communication Equipment,HK,2011-05-10,False
108,BTLLF,USD,,Other OTC,OTC,Gold,CA,2018-02-28,False
109,BVAXF,USD,,Other OTC,OTC,Biotechnology,CA,2018-12-28,False
110,688235.SS,CNY,,Shanghai Stock Exchange,SHH,Medical - Pharmaceuticals,CN,2021-12-15,False
111,HIPO-WT,USD,0001828105,New York Stock Exchange,NYSE,,,,False
112,JVCZY,USD,,Other OTC,OTC,Consumer Electronics,JP,2014-07-31,False
113,MMM,USD,0000066740,New York Stock Exchange,NYSE,Conglomerates,US,1946-01-14,False
114,HSY,USD,0000047111,New York Stock Exchange,NYSE,Food Confectioners,US,1980-03-17,False
115,GLYYY,USD,,Other OTC,OTC,Industrial - Machinery,JP,2012-02-29,False
116,MSPRW,USD,0001802450,NASDAQ Global Market,NASDAQ,Medical - Healthcare Information Services,US,2022-06-01,False
117,SCT.AX,AUD,,Australian Securities Exchange,ASX,Security & Protection Services,AU,2017-08-25,False
118,YNGN.L,GBp,,London Stock Exchange,LSE,Restaurants,GB,1995-03-24,False
119,JOPA3.SA,BRL,,B3 S.A.,SAO,Packaged Foods,BR,2003-02-20,False
120,JASN.F,EUR,,Frankfurt Stock Exchange,XETRA,Telecommunications Services,TH,2008-10-01,False
121,MEJHF,USD,0001558812,Other OTC,OTC,Packaged Foods,JP,2010-02-02,False
122,RMRHF,USD,,Other OTC,OTC,Insurance - Diversified,ZA,2019-02-22,False
123,LIXTW,USD,0001335105,NASDAQ Capital Market,NASDAQ,Biotechnology,US,2020-11-27,False
124,VUZI,USD,0001463972,NASDAQ Capital Market,NASDAQ,Consumer Electronics,US,2010-04-05,False
125,ATAKR,USD,0001883788,NASDAQ Global Market,NASDAQ,Shell Companies,US,2022-03-21,False
126,CYAGF,USD,,Other OTC,OTC,Advertising Agencies,JP,2014-08-01,False
127,TAJGVK.NS,INR,,National Stock Exchange of India,NSE,Travel Lodging,IN,2002-08-12,False
128,RMB.DE,EUR,,Deutsche Börse,XETRA,Semiconductors,US,2020-02-18,False
129,6178.HK,HKD,,Hong Kong Stock Exchange,HKSE,Financial - Capital Markets,HK,2016-08-18,False
130,AENT,USD,0001823584,NASDAQ Capital Market,NASDAQ,Entertainment,US,2021-03-24,False
131,NNDNF,USD,0001158967,Other OTC,OTC,Industrial - Machinery,JP,2012-01-17,False
132,BRKM5.SA,BRL,,B3 S.A.,SAO,Chemicals,BR,2000-01-03,False
133,NVTK.IL,USD,,International Order Book,IOB,Oil & Gas Exploration & Production,RU,2006-03-03,False
134,FIL.TO,CAD,,Toronto Stock Exchange,TSX,Industrial Materials,CA,2016-09-01,False
135,PMET.V,CAD,,Toronto Stock Exchange Ventures,TSXV,Industrial Materials,CA,2014-08-26,False
136,OPWEF,USD,,Other OTC,OTC,Gold,CA,2022-11-10,False
137,MTE.DE,EUR,,Deutsche Börse,XETRA,Semiconductors,US,2007-12-28,False
138,REXR,USD,0001571283,New York Stock Exchange,NYSE,REIT - Industrial,US,2013-07-19,False
139,002787.KS,KRW,,Korea Exchange,KSC,Engineering & Construction,KR,2006-12-05,False
140,IE,USD,0001879016,New York Stock Exchange Arca,AMEX,Software - Application,CA,2022-06-28,False
141,TMVWY,USD,,Other OTC,OTC,Software - Application,DE,2020-02-04,False
142,AFI.CN,CAD,,Canadian Securities Exchange,CNQ,Agricultural Farm Products,CA,2000-03-10,False
143,MALUPAPER.BO,INR,,Bombay Stock Exchange,BSE,"Paper, Lumber & Forest Products",IN,,False
144,LSXMB,USD,0001560385,NASDAQ Global Select,NASDAQ,Broadcasting,US,2016-04-21,False
145,0V50.L,USD,,London Stock Exchange,LSE,Software - Services,US,2018-07-26,False
146,STA-R.BK,THB,,Stock Exchange of Thailand,SET,Auto - Parts,TH,2007-12-28,False
147,ACC.BO,INR,,Bombay Stock Exchange,BSE,Construction Materials,IN,2000-01-03,False
148,GROUF,USD,0001437710,Other OTC,OTC,Industrial - Distribution,IE,2010-01-05,False
149,0291.HK,HKD,,Hong Kong Stock Exchange,HKSE,Beverages - Alcoholic,HK,2000-01-04,False
150,FMV.DE,EUR,,Deutsche Börse,XETRA,Industrial Materials,CA,2005-12-09,False
151,PRRFY,USD,,Other OTC,OTC,Packaged Foods,GB,2010-01-20,False
152,RANASUG.NS,INR,,National Stock Exchange of India,NSE,Food Confectioners,IN,2005-02-24,False
153,DEEPENR.BO,INR,,Bombay Stock Exchange,BSE,Oil & Gas Equipment & Services,IN,2006-09-26,False
154,CCL-B.TO,CAD,,Toronto Stock Exchange,TSX,Packaging & Containers,CA,1995-01-12,False
155,0R2P.L,USD,,London Stock Exchange,LSE,Industrial - Capital Goods,US,2014-11-06,False
156,HVIIR,USD,0001846416,NASDAQ Global Select,NASDAQ,Financial - Conglomerates,US,2025-01-17,False
157,HVT,USD,0000216085,New York Stock Exchange,NYSE,Home Improvement,US,1980-03-17,False
158,STKAF,USD,,Other OTC,OTC,REIT - Diversified,AU,2012-08-13,False
159,CMS-PB,USD,0000201533,New York Stock Exchange,NYSE,Regulated Electric,US,1972-11-07,False
160,BLAB,USD,0001803977,Other OTC,OTC,Advertising Agencies,US,2018-11-30,False
161,SHZUY,USD,,Other OTC,OTC,Banks - Regional,JP,2006-02-27,False
162,PHR.LS,EUR,,Euronext Lisbon,LIS,Telecommunications Services,PT,2000-01-03,False
163,FTVIW,USD,0001844336,NASDAQ Capital Market,NASDAQ,Shell Companies,US,2021-08-16,False
164,ASGRF,USD,,Other OTC,OTC,Entertainment,DK,2020-01-28,False
165,DRKOF,USD,,Other OTC,OTC,Software - Infrastructure,CA,2009-07-10,False
166,CORR-PA,USD,0001347652,New York Stock Exchange,NYSE,REIT - Diversified,US,2015-01-26,False
167,ASAXU,USD,0001824211,NASDAQ Capital Market,NASDAQ,Shell Companies,US,2021-02-04,False
168,PIPP-WT,USD,0001822835,New York Stock Exchange,NYSE,,,,False
169,CNVVF,USD,,Other OTC,OTC,Medical - Instruments & Supplies,GB,2017-03-07,False
170,M.BK,THB,,Stock Exchange of Thailand,SET,Restaurants,TH,2013-08-15,False
171,KG.SW,USD,,Swiss Exchange,SIX,Gold,CA,2014-11-21,False
172,5332.T,JPY,,Tokyo Stock Exchange,JPX,Construction,JP,2000-01-04,False
173,APXIU,USD,0001868573,NASDAQ Global Market,NASDAQ,Shell Companies,MX,2021-12-07,False
174,KPELF,USD,,Other OTC,OTC,Conglomerates,SG,2010-10-15,False
175,RTNXF,USD,0001811115,Other OTC,OTC,Medical - Healthcare Information Services,US,2019-05-15,False
176,GFI,USD,0001172724,New York Stock Exchange,NYSE,Gold,ZA,1980-03-17,False
177,LLOYDSME.NS,INR,,National Stock Exchange of India,NSE,Steel,IN,2023-07-17,False
178,0486.HK,HKD,,Hong Kong Stock Exchange,HKSE,Aluminum,RU,2010-01-27,False
179,WCC.V,CAD,,Toronto Stock Exchange Ventures,TSXV,Industrial Materials,CA,2011-11-22,False
180,THOMASCOOK.NS,INR,,National Stock Exchange of India,NSE,Travel Services,IN,2002-07-01,False
181,SRCGF,USD,,Other OTC,OTC,Industrial Materials,CA,2007-10-09,False
182,GTPAW,USD,0001837105,NASDAQ Capital Market,NASDAQ,Shell Companies,US,2021-05-03,False
183,CYCCP,USD,0001130166,NASDAQ Capital Market,NASDAQ,Biotechnology,US,2005-11-30,False
184,SQLLW,USD,0001605888,NASDAQ Capital Market,NASDAQ,Medical - Diagnostics & Research,US,,False
185,BAESY,USD,0000895564,Other OTC,OTC,Aerospace & Defense,GB,2003-10-23,False
186,9987.T,JPY,,Tokyo Stock Exchange,JPX,Medical - Distribution,JP,2001-01-01,False
187,CSPKY,USD,,Other OTC,OTC,Marine Shipping,HK,2014-07-07,False
188,PTHRF,USD,,Other OTC,OTC,Oil & Gas Exploration & Production,GB,2013-07-08,False
189,CUGCF,USD,,Other OTC,OTC,Steel,HK,2013-03-25,False
190,VMACX,USD,0000034273,NASDAQ,NASDAQ,Asset Management,US,2009-06-23,True
191,AMZ.DE,EUR,,Deutsche Börse,XETRA,Specialty Retail,US,2007-12-28,False
192,KFFLF,USD,,Other OTC,OTC,Gold,CY,2018-04-03,False
193,VGD.V,CAD,,Toronto Stock Exchange Ventures,TSXV,Gold,CA,2007-10-25,False
194,FB2A.DE,EUR,,Deutsche Börse,XETRA,Internet Content & Information,US,2012-05-21,False
195,GFR.TO,CAD,0001966287,Toronto Stock Exchange,TSX,Oil & Gas Exploration & Production,CA,2024-02-13,False
196,TUWOY,USD,,Other OTC,OTC,Oil & Gas Exploration & Production,GB,2009-12-07,False
197,MKS.L,GBp,,London Stock Exchange,LSE,Department Stores,GB,1988-07-01,False
198,DECCANCE.BO,INR,,Bombay Stock Exchange,BSE,Construction Materials,IN,2001-11-23,False
199,BYE.AX,AUD,,Australian Securities Exchange,ASX,Oil & Gas Exploration & Production,AU,2005-06-03,False
200,EMLAF,USD,,Other OTC,OTC,Grocery Stores,CA,2010-01-05,False
201,REPRO.BO,INR,,Bombay Stock Exchange,BSE,Specialty Business Services,IN,2005-12-22,False
202,DKDCA,USD,0001849380,NASDAQ Capital Market,NASDAQ,Shell Companies,GB,2021-06-24,False
203,TSSNF,USD,,Other OTC,OTC,Biotechnology,GB,2016-11-14,False
204,XFINW,USD,0001852749,NASDAQ Global Market,NASDAQ,Shell Companies,US,,False
205,ONYXU,USD,0001849548,NASDAQ Global Market,NASDAQ,Shell Companies,US,2021-11-03,False
206,HSHPO.XD,NOK,,CBOE Europe,DXE,,,,False
207,PDAC,USD,0001821317,New York Stock Exchange,NYSE,Shell Companies,US,2020-11-16,False
208,MAQC,USD,0001844419,Other OTC,OTC,Shell Companies,US,2021-06-07,False
209,SHQAW,USD,0001844908,NASDAQ Capital Market,NASDAQ,Shell Companies,,,False
210,5019.T,JPY,,Tokyo Stock Exchange,JPX,Oil & Gas Refining & Marketing,JP,2006-10-24,False
211,VINEETLAB.BO,INR,,Bombay Stock Exchange,BSE,Chemicals,IN,,False
212,BIIB,USD,0000875045,NASDAQ Global Select,NASDAQ,Drug Manufacturers - General,US,1991-09-17,False
213,ICP.L,GBp,,London Stock Exchange,LSE,Asset Management,GB,1994-05-25,False
214,EEEL4.SA,BRL,,B3 S.A.,SAO,Regulated Electric,BR,2011-01-03,False
215,0A0H.L,SEK,,London Stock Exchange,LSE,Industrial - Machinery,SE,2009-03-19,False
216,LCCINFOTEC.NS,INR,,National Stock Exchange of India,NSE,Education & Training Services,IN,2002-07-01,False
217,AMD.SW,CHF,,Swiss Exchange,SIX,Semiconductors,US,2014-11-03,False
218,IPDQF,USD,,Other OTC,OTC,Medical - Devices,AU,2012-09-25,False
219,RPPINFRA.NS,INR,,National Stock Exchange of India,NSE,Engineering & Construction,IN,2010-12-06,False
220,RWCRF,USD,,Other OTC,OTC,Software - Application,CA,2016-03-01,False
221,PPERF,USD,0001461748,Other OTC,OTC,Banks - Regional,ID,2012-09-25,False
222,0IQE.L,USD,,London Stock Exchange,LSE,Industrial - Capital Goods,US,2018-01-29,False
223,LDSCY,USD,,Other OTC,OTC,REIT - Diversified,GB,2017-01-03,False
224,ATAQ,USD,0001841004,New York Stock Exchange,NYSE,Shell Companies,US,2021-04-26,False
225,NUH.AX,AUD,,Australian Securities Exchange,ASX,Consumer Electronics,AU,2010-03-04,False
226,APELF,USD,0000900278,Other OTC,OTC,"Hardware, Equipment & Parts",JP,2014-11-12,False
227,IFT.AX,AUD,,Australian Securities Exchange,ASX,Renewable Utilities,NZ,2011-05-24,False
228,GOODLUCK.NS,INR,,National Stock Exchange of India,NSE,Steel,IN,2016-09-07,False
229,CDHSF,USD,,Other OTC,OTC,REIT - Hotel & Motel,SG,2009-08-03,True
230,M4I.DE,EUR,,Deutsche Börse,XETRA,Financial - Credit Services,US,2007-12-03,False
231,CJET.NE,CAD,,CBOE CA,NEO,"Airlines, Airports & Air Services",CA,2021-10-13,False
232,PLMK,USD,0002030482,NASDAQ Global Select,NASDAQ,Financial - Conglomerates,US,2025-01-15,False
233,0G5B.L,EUR,,London Stock Exchange,LSE,Industrial Materials,DE,2008-11-14,False
234,CMGMY,USD,,Other OTC,OTC,Aerospace & Defense,GB,2011-12-12,False
235,ADVENZYMES.NS,INR,,National Stock Exchange of India,NSE,Chemicals - Specialty,IN,2016-08-01,False
236,HAVISHA.BO,INR,,Bombay Stock Exchange,BSE,Travel Lodging,IN,,False
237,NVVE,USD,0001836875,NASDAQ Capital Market,NASDAQ,Specialty Retail,US,2020-05-01,False
238,DSSL.NS,INR,,National Stock Exchange of India,NSE,Information Technology Services,IN,2008-01-01,False
239,DELL,USD,0001571996,New York Stock Exchange,NYSE,Computer Hardware,US,2016-08-17,False
240,KOTAKBANK.BO,INR,,Bombay Stock Exchange,BSE,Banks - Regional,IN,2000-03-21,False
241,SYANY,USD,,Other OTC,OTC,Banks - Regional,DK,2014-05-29,False
242,GRFX,USD,0001816723,New York Stock Exchange Arca,AMEX,Industrial Materials,HK,2021-01-08,False
243,NAHARINDUS.NS,INR,,National Stock Exchange of India,NSE,Apparel - Manufacturers,IN,2005-12-15,False
244,ESOZ.L,GBp,,London Stock Exchange,LSE,Asset Management,GB,2021-12-20,False
245,WWOIX,USD,0001005020,NASDAQ,NASDAQ,Asset Management - Global,US,2012-08-08,True
246,BRVRF,USD,,Other OTC,OTC,Copper,CA,2012-08-03,False
247,NBRFF,USD,,Other OTC,OTC,Industrial Materials,CA,2020-08-07,False
248,ABILF,USD,0001652866,Other OTC,OTC,Communication Equipment,IL,2014-02-05,False
249,WBE.V,CAD,,Toronto Stock Exchange Ventures,TSXV,"Paper, Lumber & Forest Products",CA,1996-08-08,False
250,BWIN,USD,0001781755,NASDAQ Global Market,NASDAQ,Insurance - Brokers,US,2019-10-24,False
251,MYM.DE,EUR,,Deutsche Börse,XETRA,Packaging & Containers,AT,2010-08-16,False
252,QDRSF,USD,,Other OTC,OTC,Oil & Gas Equipment & Services,GB,2013-08-14,False
253,MISC.KL,MYR,,Malaysian Stock Exchange,KLS,Marine Shipping,MY,2000-01-03,False
254,RELIGARE.BO,INR,,Bombay Stock Exchange,BSE,Insurance - Life,IN,2008-01-02,False
255,IGDFF,USD,,Other OTC,OTC,Specialty Retail,GB,2021-06-01,False
256,ADVN.SW,CHF,,Swiss Exchange,SIX,Manufacturing - Metal Fabrication,CH,1998-07-17,False
257,0LS8.L,USD,,London Stock Exchange,LSE,Real Estate - General,US,2018-01-29,False
258,EMBC,USD,0001872789,NASDAQ Global Select,NASDAQ,Drug Manufacturers - Specialty & Generic,US,2022-03-22,False
259,CIBUS.ST,SEK,,Stockholm Stock Exchange,STO,Real Estate - Services,SE,2018-03-09,False
260,SMIHW,USD,0001839185,NASDAQ Capital Market,NASDAQ,Shell Companies,,,False
261,LUNMF,USD,,Other OTC,OTC,Copper,CA,2006-11-01,False
262,RDBBF,USD,,Other OTC,OTC,Specialty Retail,AU,2016-12-29,False
263,DDDCX,USD,0001314414,NASDAQ,NASDAQ,Asset Management,US,2012-12-11,True
264,CCC3.DE,EUR,,Deutsche Börse,XETRA,Beverages - Non-Alcoholic,US,2007-12-28,False
265,ASEPF,USD,0001882607,Other OTC,OTC,Oil & Gas Exploration & Production,US,,False
266,IMPN.SW,CHF,,Swiss Exchange,SIX,Engineering & Construction,CH,2006-03-06,False
267,GGDVY,USD,,Other OTC,OTC,Regulated Water,HK,2011-04-20,False
268,ENNVU,USD,0001832351,NASDAQ Global Select,NASDAQ,Shell Companies,US,2021-02-09,False
269,MGWFF,USD,,Other OTC,OTC,Drug Manufacturers - Specialty & Generic,CA,2016-08-29,False
270,2120.T,JPY,,Tokyo Stock Exchange,JPX,Internet Content & Information,JP,2006-10-31,False
271,PMT.TO,CAD,,Toronto Stock Exchange,TSX,Oil & Gas Exploration & Production,CA,2003-10-09,False
272,0ID1.L,USD,,London Stock Exchange,LSE,General Utilities,US,2018-01-29,False
273,PNDXF,USD,,Other OTC,OTC,Travel Lodging,SE,2022-06-28,False
274,9697.T,JPY,,Tokyo Stock Exchange,JPX,Electronic Gaming & Multimedia,JP,2001-01-04,False
275,SCHA.OL,NOK,,Oslo Stock Exchange,OSL,Publishing,NO,2000-01-03,False
276,AGNG,USD,,NASDAQ Global Market,NASDAQ,Asset Management - Global,US,2016-05-10,False
277,GFI.JO,ZAc,,Johannesburg Stock Exchange,JNB,Gold,ZA,2000-01-04,False
278,KESORAMIND.BO,INR,,Bombay Stock Exchange,BSE,Construction Materials,IN,2001-02-15,False
279,ARVL,USD,0001835059,NASDAQ Global Select,NASDAQ,Auto - Manufacturers,LU,2020-02-03,False
280,NWCCF,USD,,Other OTC,OTC,Industrial Materials,CA,2009-02-13,False
281,TCL-B.TO,CAD,,Toronto Stock Exchange,TSX,Specialty Business Services,CA,1995-01-12,False
282,ESKKF,USD,,Other OTC,OTC,Software - Application,AU,2021-10-29,False
283,TWNI-WT,USD,0001835881,New York Stock Exchange,NYSE,,,,False
284,0O6D.L,EUR,,London Stock Exchange,LSE,Industrial Materials,ES,2008-10-20,False
